REGION,PROVINCIA,COMUNA,DISTRITO,COD_DISTRI,COD_LOCALI,COD_ENTIDA,CATEGORIA,PERSONAS,HOMBRES,MUJERES,DE_0_A_5_A,DE_6_A_14_,DE_15_A_64,DE_65_MAS_,INMIGRANTE,PUEBLOS_OR,VIVIENDAS_,VIVIENDAS1,VIV_OCUPAD,TOTAL_VIVI,TOT_HOGARE,CASA,DEPTO,VIV_INDIGE,CONVENTILL,MEDIAGUA,MOVIL,OTRA_VIV_P,VIV_HORMIG,VIV_ALBANI,VIV_TABIQU,VIV_TABI_1,VIV_ADOBE,VIV_PARED_,VIV_TEJAS_,VIV_LOSA_H,VIV_PLANCH,VIV_FONOLI,VIV_PAJA,VIV_TECHO_,VIV_SIN_TE,VIV_PARQUE,VIV_RADIER,VIV_BALDOS,VIV_CAPA_C,VIV_PISO_T,IND_MAT_AC,IND_MAT_RE,IND_MAT_IR,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,x,y
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,4,69,1,23,14,9,0,Indeterminado,21,Indeterminado,Indeterminado,Indeterminado,10,1,8,11,10,10,0,0,0,0,0,0,0,2,1,4,1,0,2,0,6,0,0,0,0,8,0,0,0,0,3,5,0,7,1,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,22,1,105,46,59,Indeterminado,17,73,Indeterminado,5,6,32,0,31,32,31,32,0,0,0,0,0,0,0,30,1,0,0,0,2,0,28,1,0,0,0,31,0,0,0,0,30,1,0,31,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,7,1,216,105,111,15,38,148,15,Indeterminado,13,70,0,63,70,65,70,0,0,0,0,0,0,0,63,0,0,0,0,14,0,49,0,0,0,0,63,0,0,0,0,63,0,0,63,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,16,1,111,61,50,6,16,81,8,Indeterminado,5,40,0,36,40,36,40,0,0,0,0,0,0,2,34,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,0,36,0,0,35,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,68,1,62,34,28,7,6,42,7,Indeterminado,5,21,0,17,21,17,21,0,0,0,0,0,0,0,2,11,3,1,0,2,0,15,0,0,0,0,17,0,0,0,0,13,4,0,17,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,17,1,50,27,23,Indeterminado,8,35,Indeterminado,0,Indeterminado,15,0,15,15,15,15,0,0,0,0,0,0,1,14,0,0,0,0,1,0,14,0,0,0,0,15,0,0,0,0,15,0,0,15,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,69,1,77,43,34,9,8,50,10,0,Indeterminado,20,0,20,20,21,20,0,0,0,0,0,0,2,2,10,4,1,1,2,0,18,0,0,0,0,19,1,0,0,0,14,5,1,18,2,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,6,26,1,49,20,29,Indeterminado,6,38,Indeterminado,Indeterminado,Indeterminado,17,0,16,17,16,17,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,16,0,0,16,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,5,18,1,45,17,28,Indeterminado,6,32,Indeterminado,0,0,15,0,14,15,14,15,0,0,0,0,0,0,1,13,0,0,0,0,4,0,10,0,0,0,0,14,0,0,0,0,14,0,0,14,0,0,0,,
REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,PLACILLA,21,8,70,1,118,70,48,6,10,77,25,Indeterminado,Indeterminado,48,0,42,48,43,45,0,0,0,2,1,0,0,11,25,2,2,1,4,0,37,0,0,0,1,37,2,2,0,1,33,7,1,41,0,0,0,,
